Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
SOUTH CAROLINA,2014,10,10,586,3597
SOUTH DAKOTA,2014,10,10,2,277
TENNESSEE,2014,10,10,123,2003
TEXAS,2014,10,10,2020,6516
UTAH,2014,10,10,97,802
VERMONT,2014,10,10,11,162
VIRGINIA,2014,10,10,695,5812
WASHINGTON,2014,10,10,390,3599
WEST VIRGINIA,2014,10,10,35,486
WISCONSIN,2014,10,10,237,2410
WYOMING,2014,10,10,0,9
ALABAMA,2014,11,11,0,851
ALASKA,2014,11,11,28,339
ARIZONA,2014,11,11,0,0
ARKANSAS,2014,11,11,407,2025
CALIFORNIA,2014,11,11,1200,10999
COLORADO,2014,11,11,249,3639
CONNECTICUT,2014,11,11,3,320
DELAWARE,2014,11,11,135,827
FLORIDA,2014,11,11,915,10065
GEORGIA,2014,11,11,764,8418
HAWAII,2014,11,11,6,32
IDAHO,2014,11,11,0,443
ILLINOIS,2014,11,11,36,227
INDIANA,2014,11,11,265,2103
IOWA,2014,11,11,50,288
KANSAS,2014,11,11,89,220
KENTUCKY,2014,11,11,398,3063
LOUISIANA,2014,11,11,1,404
MAINE,2014,11,11,106,387
MARYLAND,2014,11,11,374,1811
MASSACHUSETTS,2014,11,11,473,3860
MICHIGAN,2014,11,11,369,4127
MINNESOTA,2014,11,11,0,9
MISSISSIPPI,2014,11,11,0,2566
MISSOURI,2014,11,11,92,1151
MONTANA,2014,11,11,79,607
NEBRASKA,2014,11,11,130,796
NEVADA,2014,11,11,0,802
NEW HAMPSHIRE,2014,11,11,0,9
NEW JERSEY,2014,11,11,183,1545
NEW MEXICO,2014,11,11,0,1138
NEW YORK,2014,11,11,813,6730
NORTH CAROLINA,2014,11,11,1667,9691
NORTH DAKOTA,2014,11,11,13,69
OHIO,2014,11,11,342,3619
OKLAHOMA,2014,11,11,0,303
OREGON,2014,11,11,327,2691
PENNSYLVANIA,2014,11,11,878,9412
RHODE ISLAND,2014,11,11,135,421
SOUTH CAROLINA,2014,11,11,540,4137
SOUTH DAKOTA,2014,11,11,4,281
TENNESSEE,2014,11,11,171,2174
TEXAS,2014,11,11,1975,8491
UTAH,2014,11,11,111,913
VERMONT,2014,11,11,0,162
VIRGINIA,2014,11,11,948,6760
WASHINGTON,2014,11,11,306,3905
WEST VIRGINIA,2014,11,11,100,586
WISCONSIN,2014,11,11,247,2657
WYOMING,2014,11,11,6,15
ALABAMA,2014,12,12,0,851
ALASKA,2014,12,12,40,379
ARIZONA,2014,12,12,0,0
ARKANSAS,2014,12,12,377,2402
CALIFORNIA,2014,12,12,1460,12459
COLORADO,2014,12,12,409,4048
CONNECTICUT,2014,12,12,116,436
DELAWARE,2014,12,12,59,886
FLORIDA,2014,12,12,913,10978
GEORGIA,2014,12,12,1141,9559
HAWAII,2014,12,12,1,33
IDAHO,2014,12,12,33,476
ILLINOIS,2014,12,12,39,266
INDIANA,2014,12,12,175,2278
IOWA,2014,12,12,19,307
KANSAS,2014,12,12,0,220
KENTUCKY,2014,12,12,302,3365
LOUISIANA,2014,12,12,91,495
MAINE,2014,12,12,27,414
MARYLAND,2014,12,12,0,1811
MASSACHUSETTS,2014,12,12,437,4297
MICHIGAN,2014,12,12,458,4585
MINNESOTA,2014,12,12,0,9
MISSISSIPPI,2014,12,12,436,3002
MISSOURI,2014,12,12,105,1256
MONTANA,2014,12,12,69,676
NEBRASKA,2014,12,12,59,855
NEVADA,2014,12,12,0,802
NEW HAMPSHIRE,2014,12,12,0,9
NEW JERSEY,2014,12,12,228,1773
NEW MEXICO,2014,12,12,0,1138
NEW YORK,2014,12,12,668,7398
NORTH CAROLINA,2014,12,12,0,9691
NORTH DAKOTA,2014,12,12,15,84
OHIO,2014,12,12,358,3977
OKLAHOMA,2014,12,12,0,303
OREGON,2014,12,12,305,2996
PENNSYLVANIA,2014,12,12,780,10192
RHODE ISLAND,2014,12,12,0,421
SOUTH CAROLINA,2014,12,12,425,4562
SOUTH DAKOTA,2014,12,12,10,291
TENNESSEE,2014,12,12,196,2370
TEXAS,2014,12,12,0,8491
UTAH,2014,12,12,94,1007
VERMONT,2014,12,12,0,162
VIRGINIA,2014,12,12,714,7474
WASHINGTON,2014,12,12,323,4228
