Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
VIRGINIA,2014,10,10,225,1193
WASHINGTON,2014,10,10,70,663
WEST VIRGINIA,2014,10,10,11,99
WISCONSIN,2014,10,10,41,474
WYOMING,2014,10,10,0,1
ALABAMA,2014,11,11,0,226
ALASKA,2014,11,11,11,91
ARIZONA,2014,11,11,0,0
ARKANSAS,2014,11,11,101,586
CALIFORNIA,2014,11,11,331,3304
COLORADO,2014,11,11,33,490
CONNECTICUT,2014,11,11,1,7
DELAWARE,2014,11,11,27,268
FLORIDA,2014,11,11,216,2479
GEORGIA,2014,11,11,191,2172
HAWAII,2014,11,11,4,25
IDAHO,2014,11,11,4,20
ILLINOIS,2014,11,11,6,72
INDIANA,2014,11,11,59,503
IOWA,2014,11,11,9,38
KANSAS,2014,11,11,21,51
KENTUCKY,2014,11,11,70,729
LOUISIANA,2014,11,11,1,119
MAINE,2014,11,11,5,29
MARYLAND,2014,11,11,105,441
MASSACHUSETTS,2014,11,11,50,658
MICHIGAN,2014,11,11,97,1078
MINNESOTA,2014,11,11,0,3
MISSISSIPPI,2014,11,11,0,740
MISSOURI,2014,11,11,52,469
MONTANA,2014,11,11,4,41
NEBRASKA,2014,11,11,16,125
NEVADA,2014,11,11,0,198
NEW HAMPSHIRE,2014,11,11,0,21
NEW JERSEY,2014,11,11,33,304
NEW MEXICO,2014,11,11,0,72
NEW YORK,2014,11,11,123,1085
NORTH CAROLINA,2014,11,11,508,2900
NORTH DAKOTA,2014,11,11,0,5
OHIO,2014,11,11,102,1088
OKLAHOMA,2014,11,11,0,82
OREGON,2014,11,11,44,346
PENNSYLVANIA,2014,11,11,235,2421
RHODE ISLAND,2014,11,11,9,64
SOUTH CAROLINA,2014,11,11,157,1198
SOUTH DAKOTA,2014,11,11,0,6
TENNESSEE,2014,11,11,28,483
TEXAS,2014,11,11,543,2148
UTAH,2014,11,11,14,138
VERMONT,2014,11,11,0,2
VIRGINIA,2014,11,11,37,1230
WASHINGTON,2014,11,11,79,742
WEST VIRGINIA,2014,11,11,14,113
WISCONSIN,2014,11,11,46,520
WYOMING,2014,11,11,0,1
ALABAMA,2014,12,12,0,226
ALASKA,2014,12,12,4,95
ARIZONA,2014,12,12,0,0
ARKANSAS,2014,12,12,90,676
CALIFORNIA,2014,12,12,404,3708
COLORADO,2014,12,12,34,524
CONNECTICUT,2014,12,12,32,39
DELAWARE,2014,12,12,26,294
FLORIDA,2014,12,12,239,2718
GEORGIA,2014,12,12,279,2451
HAWAII,2014,12,12,3,28
IDAHO,2014,12,12,3,23
ILLINOIS,2014,12,12,11,83
INDIANA,2014,12,12,37,540
IOWA,2014,12,12,3,41
KANSAS,2014,12,12,0,51
KENTUCKY,2014,12,12,67,796
LOUISIANA,2014,12,12,15,134
MAINE,2014,12,12,6,35
MARYLAND,2014,12,12,0,441
MASSACHUSETTS,2014,12,12,62,720
MICHIGAN,2014,12,12,82,1160
MINNESOTA,2014,12,12,0,3
MISSISSIPPI,2014,12,12,121,861
MISSOURI,2014,12,12,34,503
MONTANA,2014,12,12,6,47
NEBRASKA,2014,12,12,6,131
NEVADA,2014,12,12,0,198
NEW HAMPSHIRE,2014,12,12,1,22
NEW JERSEY,2014,12,12,43,347
NEW MEXICO,2014,12,12,0,72
NEW YORK,2014,12,12,100,1185
NORTH CAROLINA,2014,12,12,0,2900
NORTH DAKOTA,2014,12,12,0,5
OHIO,2014,12,12,81,1169
OKLAHOMA,2014,12,12,0,82
OREGON,2014,12,12,34,380
PENNSYLVANIA,2014,12,12,189,2610
RHODE ISLAND,2014,12,12,0,64
SOUTH CAROLINA,2014,12,12,131,1329
SOUTH DAKOTA,2014,12,12,0,6
TENNESSEE,2014,12,12,41,524
TEXAS,2014,12,12,0,2148
UTAH,2014,12,12,13,151
VERMONT,2014,12,12,0,2
VIRGINIA,2014,12,12,347,1577
WASHINGTON,2014,12,12,74,816
WEST VIRGINIA,2014,12,12,0,113
WISCONSIN,2014,12,12,53,573
WYOMING,2014,12,12,0,1
ALABAMA,2014,13,13,0,226
ALASKA,2014,13,13,8,103
ARIZONA,2014,13,13,0,0
ARKANSAS,2014,13,13,81,757
CALIFORNIA,2014,13,13,251,3959
COLORADO,2014,13,13,13,537
CONNECTICUT,2014,13,13,36,75
DELAWARE,2014,13,13,24,318
FLORIDA,2014,13,13,301,3019
GEORGIA,2014,13,13,188,2639
HAWAII,2014,13,13,2,30
IDAHO,2014,13,13,0,23
ILLINOIS,2014,13,13,15,98
INDIANA,2014,13,13,26,566
IOWA,2014,13,13,7,48
KANSAS,2014,13,13,0,51
KENTUCKY,2014,13,13,85,881
LOUISIANA,2014,13,13,13,147
MAINE,2014,13,13,5,40
MARYLAND,2014,13,13,0,441
MASSACHUSETTS,2014,13,13,0,720
MICHIGAN,2014,13,13,88,1248
MINNESOTA,2014,13,13,4,7
MISSISSIPPI,2014,13,13,108,969
MISSOURI,2014,13,13,0,503
MONTANA,2014,13,13,6,53
NEBRASKA,2014,13,13,12,143
NEVADA,2014,13,13,0,198
NEW HAMPSHIRE,2014,13,13,4,26
NEW JERSEY,2014,13,13,34,381
NEW MEXICO,2014,13,13,6,78
NEW YORK,2014,13,13,139,1324
NORTH CAROLINA,2014,13,13,480,3380
NORTH DAKOTA,2014,13,13,0,5
OHIO,2014,13,13,52,1221
OKLAHOMA,2014,13,13,0,82
OREGON,2014,13,13,30,410
PENNSYLVANIA,2014,13,13,203,2813
RHODE ISLAND,2014,13,13,0,64
SOUTH CAROLINA,2014,13,13,0,1329
SOUTH DAKOTA,2014,13,13,1,7
TENNESSEE,2014,13,13,68,592
TEXAS,2014,13,13,0,2148
UTAH,2014,13,13,18,169
VERMONT,2014,13,13,0,2
VIRGINIA,2014,13,13,206,1783
